NCT,PubMed ID,Trial name,source_value
NCT02453282,32271377,MYSTIC,No
NCT02453282,32271377,MYSTIC,No
NCT02231749,32661118,CheckMate 214,No
NCT02367794,32302702,IMpower131,No
NCT02367794,32302702,IMpower131,No
NCT02908672,32534646,IMspire150,No
NCT02017717,32437507,CheckMate 143,No
NCT02500121,32271672,,No
NCT02807636,32416780,IMvigor130,No
NCT02807636,32416780,IMvigor130,No
NCT03434379,32402160,IMbrave150,No
NCT02369874,32294530,EAGLE,Yes
NCT02369874,32294530,EAGLE,Yes
NCT02870920,32379280,,No
NCT02574598,32271354,PROLUNG,No
NCT01668784,32673417,CheckMate 025,No
NCT02684006,32339648,JAVELIN Renal 101,No
NCT02142738,27718847,Keynote-024,Yes
NCT00094653,23942774,MDX010-20,No
NCT00094653,23942774,MDX010-20,No
NCT03051659,32880602,,No
NCT02494583,32880601,Keynote-062,Yes
NCT02494583,32880601,Keynote-062,Yes
NCT02819518,33278935,MK-3475/Keynote-355,Yes
NCT02516241,32971005,DANUBE,No
NCT02516241,32971005,DANUBE,No
NCT03197935,32966830,IMpassion031,No
NCT02603432,32945632,,No
NCT02625610,33197226,Javelin Gastric 100,No
NCT02899299,33485464,CheckMate 743,No
NCT02409342,32997907,IMpower110,Yes
NCT02924883,33002436,KATE2,No
NCT02853331,33284113,Keynote-426,No
NCT02657434,33333328,Impower 132,No
NCT02564263,33026938,KEYNOTE-181,No
NCT00861614,32811715,CA184-043,No
NCT01721772,32997575,CheckMate 066,No
NCT02130466,33361337,KEYNOTE-022,No
NCT03043872,33285097,CASPIAN,No
NCT03043872,33285097,CASPIAN,No
NCT02991482,32976938,PROMISE-meso,No
NCT02563002,33264544,MK-3475/Keynote-177,No
NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,No
NCT00636168,25840693,,No
NCT01903993,33166718,POPLAR,No
NCT02008227,33166718,OAK,No
NCT02811861,33616314,CLEAR,No
NCT03215706,33476593,CheckMate 9LA,No
NCT02481830,33539946,CheckMate 331,No
NCT03141177,33657295,CheckMate 9ER,No
NCT02538666,33683919,CheckMate 451,No
NCT02538666,33683919,CheckMate 451,No
NCT02299999,33462450,SAFIR02-BREAST IMMUNO,No
NCT02684292,33721562,Keynote-204,No
NCT02450331,33721560,Imvigor010,No
NCT02555657,33676601,Keynote-119,No
NCT03088540,33581821,EMPOWER-Lung 1,Yes
NCT02852083,33796020,ModuLung,No
NCT02952586,33794205,JAVELIN Head and Neck 101,No
NCT02743494,33789008,CheckMate 577,No
NCT02999087,33125944,REACH,No
