item_id,csv_row_number,question,expected_keys_json,status,error,question_dir,ground_truth_table_csv
row_24,24,"In NSCLC trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","[""control_drugs""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_24__In_NSCLC_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from_the_contr,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_drugs__row_24__In_NSCLC_trials_with_chemotherapy_control_list_the_specific_cytotoxic_drugs_from_the_contr/ground_truth_table.csv
row_25,25,"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","[""endpoint_role""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_25__In_Melanoma_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_on,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_25__In_Melanoma_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_on/ground_truth_table.csv
row_26,26,"In Small Cell Lung Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","[""control_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_26__In_Small_Cell_Lung_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_suppo,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_26__In_Small_Cell_Lung_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_suppo/ground_truth_table.csv
row_27,27,"In Renal cell Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","[""control_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_27__In_Renal_cell_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportive,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_27__In_Renal_cell_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportive/ground_truth_table.csv
row_28,28,"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","[""endpoint_role""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_28__In_Breast_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_on_th,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_28__In_Breast_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_on_th/ground_truth_table.csv
row_29,29,"In Colorectal trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","[""endpoint_role""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_29__In_Colorectal_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_o,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/endpoint_role__row_29__In_Colorectal_trials_determine_whether_the_listed_endpoint_is_primary_or_secondary_based_o/ground_truth_table.csv
row_31,31,"In Head and Neck studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.","[""tki_agents""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_31__In_Head_and_Neck_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_reg,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_31__In_Head_and_Neck_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_reg/ground_truth_table.csv
row_33,33,"In Urothelial Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","[""control_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_33__In_Urothelial_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportive,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/control_category__row_33__In_Urothelial_Phase_3_trials_classify_the_control_arm_as_active_placebo_or_best_supportive/ground_truth_table.csv
row_34,34,"In Bladder trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.","[""setting_normalized""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_34__In_Bladder_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_perioperat,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_34__In_Bladder_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_perioperat/ground_truth_table.csv
row_35,35,"In Pancreatic trials, convert 'Type of therapy' into is_combination = true/false.","[""is_combination""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_35__In_Pancreatic_trials_convert_Type_of_therapy_into_is_combination_true_false,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_35__In_Pancreatic_trials_convert_Type_of_therapy_into_is_combination_true_false/ground_truth_table.csv
row_36,36,"In Gastric/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","[""class""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_36__In_Gastric_GEJ_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/class__row_36__In_Gastric_GEJ_trials_classify_the_ICI_by_target_class_from_its_generic_name_as_PD_1_PD_L1/ground_truth_table.csv
row_37,37,"In Gastric/GEJ combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).","[""combo_type_norm""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_37__In_Gastric_GEJ_combination_therapy_trials_normalize_the_combination_type_to_standardized_l,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_37__In_Gastric_GEJ_combination_therapy_trials_normalize_the_combination_type_to_standardized_l/ground_truth_table.csv
row_38,38,"In Hepatocellular trials, interpret the PD-L1 requirement flag as boolean true/false.","[""pd_l1_required""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/pd_l1_required__row_38__In_Hepatocellular_trials_interpret_the_PD_L1_requirement_flag_as_boolean_true_false,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/pd_l1_required__row_38__In_Hepatocellular_trials_interpret_the_PD_L1_requirement_flag_as_boolean_true_false/ground_truth_table.csv
row_40,40,"For trials retrieved, construct a PubMed URL from the PubMed ID.","[""pubmed_url""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/pubmed_url__row_40__For_trials_retrieved_construct_a_PubMed_URL_from_the_PubMed_ID,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/pubmed_url__row_40__For_trials_retrieved_construct_a_PubMed_URL_from_the_PubMed_ID/ground_truth_table.csv
row_41,41,"In Hodgkin Lymphoma trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","[""maturity""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_41__In_Hodgkin_Lymphoma_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_im,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_41__In_Hodgkin_Lymphoma_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_im/ground_truth_table.csv
row_42,42,"In Head and Neck trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","[""maturity""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_42__In_Head_and_Neck_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immat,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_42__In_Head_and_Neck_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immat/ground_truth_table.csv
row_44,44,"In Esophageal/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","[""primary_endpoint_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_44__In_Esophageal_GEJ_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_D,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_44__In_Esophageal_GEJ_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_D/ground_truth_table.csv
row_45,45,"In melanoma trials using ICI plus BRAFi+MEKi, list the BRAF and MEK inhibitors used in the regimen.","[""braf_inhibitor"", ""mek_inhibitor""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/braf_inhibitor_mek_inhibitor__row_45__In_melanoma_trials_using_ICI_plus_BRAFi_MEKi_list_the_BRAF_and_MEK_inhibitors_used_in_the,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/braf_inhibitor_mek_inhibitor__row_45__In_melanoma_trials_using_ICI_plus_BRAFi_MEKi_list_the_BRAF_and_MEK_inhibitors_used_in_the/ground_truth_table.csv
row_46,46,"In Hepatocellular studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.","[""tki_agents""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_46__In_Hepatocellular_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_re,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_46__In_Hepatocellular_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_re/ground_truth_table.csv
row_47,47,"For Avelumab trials, bucket total sample size as small(<100), medium(100–299), or large(≥300).","[""size_bucket""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/size_bucket__row_47__For_Avelumab_trials_bucket_total_sample_size_as_small_100_medium_100_299_or_large_300,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/size_bucket__row_47__For_Avelumab_trials_bucket_total_sample_size_as_small_100_medium_100_299_or_large_300/ground_truth_table.csv
row_48,48,"In Melanoma Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","[""primary_endpoint_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_48__In_Melanoma_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_DOR,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_48__In_Melanoma_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_DOR/ground_truth_table.csv
row_50,50,"In Mesothelioma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","[""primary_endpoint_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_50__In_Mesothelioma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_50__In_Mesothelioma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS/ground_truth_table.csv
row_51,51,"In Hodgkin Lymphoma trials, convert 'Original/Follow up' status into a boolean is_follow_up.","[""is_follow_up""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_51__In_Hodgkin_Lymphoma_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_51__In_Hodgkin_Lymphoma_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up/ground_truth_table.csv
row_53,53,"In Multiple Myeloma Phase 3 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","[""primary_endpoint_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_53__In_Multiple_Myeloma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_53__In_Multiple_Myeloma_Phase_3_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR/ground_truth_table.csv
row_56,56,"In Multiple Myeloma trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.","[""irAE_assessed""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_56__In_Multiple_Myeloma_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_56__In_Multiple_Myeloma_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse/ground_truth_table.csv
row_57,57,"For Durvalumab, Tremelimumab trials, bucket the publication year into: ≤2014, 2015–2018, ≥2019.","[""era""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/era__row_57__For_Durvalumab_Tremelimumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/era__row_57__For_Durvalumab_Tremelimumab_trials_bucket_the_publication_year_into_2014_2015_2018_2019/ground_truth_table.csv
row_58,58,"In Melanoma combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).","[""combo_type_norm""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_58__In_Melanoma_combination_therapy_trials_normalize_the_combination_type_to_standardized_labe,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/combo_type_norm__row_58__In_Melanoma_combination_therapy_trials_normalize_the_combination_type_to_standardized_labe/ground_truth_table.csv
row_60,60,"In Gastric/GEJ trials, convert 'Type of therapy' into is_combination = true/false.","[""is_combination""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_60__In_Gastric_GEJ_trials_convert_Type_of_therapy_into_is_combination_true_false,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_combination__row_60__In_Gastric_GEJ_trials_convert_Type_of_therapy_into_is_combination_true_false/ground_truth_table.csv
row_62,62,"In Bladder trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","[""maturity""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_62__In_Bladder_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature_or,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_62__In_Bladder_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature_or/ground_truth_table.csv
row_64,64,"In Colorectal trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","[""maturity""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_64__In_Colorectal_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/maturity__row_64__In_Colorectal_trials_classify_overall_follow_up_maturity_mature_if_24_months_else_immature/ground_truth_table.csv
row_65,65,"In Renal cell trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.","[""setting_normalized""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_65__In_Renal_cell_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_periope,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_65__In_Renal_cell_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_periope/ground_truth_table.csv
row_66,66,"In Colorectal Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","[""primary_endpoint_category""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_66__In_Colorectal_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_D,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/primary_endpoint_category__row_66__In_Colorectal_Phase_2_trials_standardize_the_primary_endpoint_into_one_of_OS_PFS_ORR_DFS_D/ground_truth_table.csv
row_67,67,"In NSCLC trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.","[""setting_normalized""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_67__In_NSCLC_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_perioperativ,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/setting_normalized__row_67__In_NSCLC_trials_normalize_the_clinical_setting_to_one_of_neoadjuvant_adjuvant_perioperativ/ground_truth_table.csv
row_68,68,"In Bladder trials, convert 'Original/Follow up' status into a boolean is_follow_up.","[""is_follow_up""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_68__In_Bladder_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/is_follow_up__row_68__In_Bladder_trials_convert_Original_Follow_up_status_into_a_boolean_is_follow_up/ground_truth_table.csv
row_69,69,"In Prostate studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.","[""tki_agents""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_69__In_Prostate_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regimen,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/tki_agents__row_69__In_Prostate_studies_using_ICI_TKI_list_the_TKI_agent_s_mentioned_in_the_treatment_regimen/ground_truth_table.csv
row_70,70,"In Mesothelioma trials, from the secondary endpoint text flag if immune-related adverse events (irAEs) were explicitly assessed.","[""irAE_assessed""]",ok,,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_70__In_Mesothelioma_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_eve,/mnt/data1/srchowd3/FD-NL2SQL/data/table_question_ground_truths_full/questions/irAE_assessed__row_70__In_Mesothelioma_trials_from_the_secondary_endpoint_text_flag_if_immune_related_adverse_eve/ground_truth_table.csv
