row_index,NCT,PubMed ID,Trial name,source_value,pubmed_url,derived_expected_llm_response
33,NCT02395172,30262187,JAVELIN Lung 200,30262187,https://pubmed.ncbi.nlm.nih.gov/30262187/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30262187/""}"
34,NCT02039674,27745820,Keynote-021,27745820,https://pubmed.ncbi.nlm.nih.gov/27745820/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/27745820/""}"
35,NCT02039674,30138764,Keynote-021,30138764,https://pubmed.ncbi.nlm.nih.gov/30138764/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30138764/""}"
36,NCT02008227,27979383,OAK,27979383,https://pubmed.ncbi.nlm.nih.gov/27979383/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/27979383/""}"
37,NCT02008227,29777823,OAK,29777823,https://pubmed.ncbi.nlm.nih.gov/29777823/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29777823/""}"
38,NCT02578680,29658856,Keynote-189,29658856,https://pubmed.ncbi.nlm.nih.gov/29658856/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29658856/""}"
39,NCT02763579,30280641,IMPower 133,30280641,https://pubmed.ncbi.nlm.nih.gov/30280641/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30280641/""}"
40,NCT02775435,30280635,Keynote-407,30280635,https://pubmed.ncbi.nlm.nih.gov/30280635/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30280635/""}"
41,NCT02366143,29863955,IMPower150,29863955,https://pubmed.ncbi.nlm.nih.gov/29863955/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29863955/""}"
42,NCT02366143,29863955,IMPower150,29863955,https://pubmed.ncbi.nlm.nih.gov/29863955/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29863955/""}"
43,NCT02477826,29658845,Checkmate 227,29658845,https://pubmed.ncbi.nlm.nih.gov/29658845/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29658845/""}"
44,NCT02477826,29658845,Checkmate 227,29658845,https://pubmed.ncbi.nlm.nih.gov/29658845/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29658845/""}"
45,NCT02477826,31562796,Checkmate 227,31562796,https://pubmed.ncbi.nlm.nih.gov/31562796/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31562796/""}"
46,NCT02477826,31562796,Checkmate 227,31562796,https://pubmed.ncbi.nlm.nih.gov/31562796/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31562796/""}"
47,NCT02477826,31562796,Checkmate 227,31562796,https://pubmed.ncbi.nlm.nih.gov/31562796/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31562796/""}"
48,NCT02220894,30955977,Keynote-042,30955977,https://pubmed.ncbi.nlm.nih.gov/30955977/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30955977/""}"
49,NCT03059667,30664989,IFCT-1603,30664989,https://pubmed.ncbi.nlm.nih.gov/30664989/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30664989/""}"
50,NCT02142738,30620668,Keynote-024,30620668,https://pubmed.ncbi.nlm.nih.gov/30620668/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30620668/""}"
51,NCT02367781,31122901,IMpower130,31122901,https://pubmed.ncbi.nlm.nih.gov/31122901/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31122901/""}"
52,NCT02613507,30659987,Checkmate 078,30659987,https://pubmed.ncbi.nlm.nih.gov/30659987/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30659987/""}"
53,NCT02454933,30763730,CAURAL,30763730,https://pubmed.ncbi.nlm.nih.gov/30763730/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30763730/""}"
54,NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,29658430,https://pubmed.ncbi.nlm.nih.gov/29658430/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/29658430/""}"
55,NCT01704287,26115796,KEYNOTE-002,26115796,https://pubmed.ncbi.nlm.nih.gov/26115796/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26115796/""}"
56,NCT01704287,26115796,KEYNOTE-002,26115796,https://pubmed.ncbi.nlm.nih.gov/26115796/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/26115796/""}"
57,NCT01704287,28961465,KEYNOTE-002,28961465,https://pubmed.ncbi.nlm.nih.gov/28961465/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28961465/""}"
58,NCT01704287,28961465,KEYNOTE-002,28961465,https://pubmed.ncbi.nlm.nih.gov/28961465/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28961465/""}"
59,NCT00636168,27717298,,27717298,https://pubmed.ncbi.nlm.nih.gov/27717298/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/27717298/""}"
60,NCT01721746,25795410,CheckMate 037,25795410,https://pubmed.ncbi.nlm.nih.gov/25795410/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/25795410/""}"
61,NCT01721746,28671856,CheckMate 037,28671856,https://pubmed.ncbi.nlm.nih.gov/28671856/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28671856/""}"
62,NCT02130466,31171878,KEYNOTE-022,31171878,https://pubmed.ncbi.nlm.nih.gov/31171878/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31171878/""}"
63,NCT01721772,25399552,CheckMate 066,25399552,https://pubmed.ncbi.nlm.nih.gov/25399552/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/25399552/""}"
64,NCT01721772,30422243,CheckMate 066,30422243,https://pubmed.ncbi.nlm.nih.gov/30422243/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/30422243/""}"
65,NCT01843374,28729154,DETERMINE,28729154,https://pubmed.ncbi.nlm.nih.gov/28729154/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28729154/""}"
66,NCT02576977,31327687,KEYNOTE-183,31327687,https://pubmed.ncbi.nlm.nih.gov/31327687/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31327687/""}"
67,NCT02579863,31327689,KEYNOTE-185,31327689,https://pubmed.ncbi.nlm.nih.gov/31327689/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31327689/""}"
68,NCT01057810,28034081,CA184-095,28034081,https://pubmed.ncbi.nlm.nih.gov/28034081/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/28034081/""}"
69,NCT02267343,31863227,ATTRACTION-2,31863227,https://pubmed.ncbi.nlm.nih.gov/31863227/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31863227/""}"
70,NCT02702401,31790344,KEYNOTE-240,31790344,https://pubmed.ncbi.nlm.nih.gov/31790344/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31790344/""}"
71,NCT02569242,31582355,ATTRACTION-3,31582355,https://pubmed.ncbi.nlm.nih.gov/31582355/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31582355/""}"
72,NCT01042379,32053137,I-SPY2,32053137,https://pubmed.ncbi.nlm.nih.gov/32053137/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32053137/""}"
73,NCT03043872,31590988,CASPIAN,31590988,https://pubmed.ncbi.nlm.nih.gov/31590988/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31590988/""}"
74,NCT03043872,31590988,CASPIAN,31590988,https://pubmed.ncbi.nlm.nih.gov/31590988/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31590988/""}"
75,NCT02425891,31786121,IMpassion130,31786121,https://pubmed.ncbi.nlm.nih.gov/31786121/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31786121/""}"
76,NCT02358031,31679945,KEYNOTE-048,31679945,https://pubmed.ncbi.nlm.nih.gov/31679945/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31679945/""}"
77,NCT02358031,31679945,KEYNOTE-048,31679945,https://pubmed.ncbi.nlm.nih.gov/31679945/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31679945/""}"
78,NCT02763579,31959349,IMpower133,31959349,https://pubmed.ncbi.nlm.nih.gov/31959349/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31959349/""}"
79,NCT02362048,32114502,KEYNOTE144,32114502,https://pubmed.ncbi.nlm.nih.gov/32114502/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32114502/""}"
80,NCT02352948,32201234,ARCTIC,32201234,https://pubmed.ncbi.nlm.nih.gov/32201234/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32201234/""}"
81,NCT02352948,32201234,ARCTIC,32201234,https://pubmed.ncbi.nlm.nih.gov/32201234/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32201234/""}"
82,NCT02352948,32201234,ARCTIC,32201234,https://pubmed.ncbi.nlm.nih.gov/32201234/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32201234/""}"
83,NCT03036488,32101663,KEYNOTE-522,32101663,https://pubmed.ncbi.nlm.nih.gov/32101663/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32101663/""}"
84,NCT01274338,31880964,E1609,31880964,https://pubmed.ncbi.nlm.nih.gov/31880964/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31880964/""}"
85,NCT01274338,31880964,E1609,31880964,https://pubmed.ncbi.nlm.nih.gov/31880964/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/31880964/""}"
86,NCT02523313,32416781,IMMUNED,32416781,https://pubmed.ncbi.nlm.nih.gov/32416781/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32416781/""}"
87,NCT02523313,32416781,IMMUNED,32416781,https://pubmed.ncbi.nlm.nih.gov/32416781/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32416781/""}"
88,NCT01896869,32591464,,32591464,https://pubmed.ncbi.nlm.nih.gov/32591464/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32591464/""}"
89,NCT03066778,32468956,KEYNOTE-604,32468956,https://pubmed.ncbi.nlm.nih.gov/32468956/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32468956/""}"
90,NCT02453282,32271377,MYSTIC,32271377,https://pubmed.ncbi.nlm.nih.gov/32271377/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32271377/""}"
91,NCT02453282,32271377,MYSTIC,32271377,https://pubmed.ncbi.nlm.nih.gov/32271377/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32271377/""}"
92,NCT02231749,32661118,CheckMate 214,32661118,https://pubmed.ncbi.nlm.nih.gov/32661118/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32661118/""}"
93,NCT02367794,32302702,IMpower131,32302702,https://pubmed.ncbi.nlm.nih.gov/32302702/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32302702/""}"
94,NCT02367794,32302702,IMpower131,32302702,https://pubmed.ncbi.nlm.nih.gov/32302702/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32302702/""}"
95,NCT02908672,32534646,IMspire150,32534646,https://pubmed.ncbi.nlm.nih.gov/32534646/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32534646/""}"
96,NCT02017717,32437507,CheckMate 143,32437507,https://pubmed.ncbi.nlm.nih.gov/32437507/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32437507/""}"
97,NCT02500121,32271672,,32271672,https://pubmed.ncbi.nlm.nih.gov/32271672/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32271672/""}"
98,NCT02807636,32416780,IMvigor130,32416780,https://pubmed.ncbi.nlm.nih.gov/32416780/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32416780/""}"
99,NCT02807636,32416780,IMvigor130,32416780,https://pubmed.ncbi.nlm.nih.gov/32416780/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32416780/""}"
100,NCT03434379,32402160,IMbrave150,32402160,https://pubmed.ncbi.nlm.nih.gov/32402160/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32402160/""}"
101,NCT02369874,32294530,EAGLE,32294530,https://pubmed.ncbi.nlm.nih.gov/32294530/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32294530/""}"
102,NCT02369874,32294530,EAGLE,32294530,https://pubmed.ncbi.nlm.nih.gov/32294530/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32294530/""}"
103,NCT02870920,32379280,,32379280,https://pubmed.ncbi.nlm.nih.gov/32379280/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32379280/""}"
104,NCT02574598,32271354,PROLUNG,32271354,https://pubmed.ncbi.nlm.nih.gov/32271354/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32271354/""}"
105,NCT01668784,32673417,CheckMate 025,32673417,https://pubmed.ncbi.nlm.nih.gov/32673417/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32673417/""}"
106,NCT02684006,32339648,JAVELIN Renal 101,32339648,https://pubmed.ncbi.nlm.nih.gov/32339648/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32339648/""}"
107,NCT02142738,27718847,Keynote-024,27718847,https://pubmed.ncbi.nlm.nih.gov/27718847/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/27718847/""}"
108,NCT03051659,32880602,,32880602,https://pubmed.ncbi.nlm.nih.gov/32880602/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32880602/""}"
109,NCT02494583,32880601,Keynote-062,32880601,https://pubmed.ncbi.nlm.nih.gov/32880601/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32880601/""}"
110,NCT02494583,32880601,Keynote-062,32880601,https://pubmed.ncbi.nlm.nih.gov/32880601/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32880601/""}"
111,NCT02819518,33278935,MK-3475/Keynote-355,33278935,https://pubmed.ncbi.nlm.nih.gov/33278935/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33278935/""}"
112,NCT02516241,32971005,DANUBE,32971005,https://pubmed.ncbi.nlm.nih.gov/32971005/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32971005/""}"
113,NCT02516241,32971005,DANUBE,32971005,https://pubmed.ncbi.nlm.nih.gov/32971005/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32971005/""}"
114,NCT03197935,32966830,IMpassion031,32966830,https://pubmed.ncbi.nlm.nih.gov/32966830/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32966830/""}"
115,NCT02603432,32945632,,32945632,https://pubmed.ncbi.nlm.nih.gov/32945632/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32945632/""}"
116, NCT02625610,33197226,Javelin Gastric 100,33197226,https://pubmed.ncbi.nlm.nih.gov/33197226/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33197226/""}"
117,NCT02899299,33485464,CheckMate 743,33485464,https://pubmed.ncbi.nlm.nih.gov/33485464/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33485464/""}"
118,NCT02409342,32997907,IMpower110,32997907,https://pubmed.ncbi.nlm.nih.gov/32997907/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32997907/""}"
119,NCT02924883,33002436,KATE2,33002436,https://pubmed.ncbi.nlm.nih.gov/33002436/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33002436/""}"
120,NCT02853331,33284113,Keynote-426,33284113,https://pubmed.ncbi.nlm.nih.gov/33284113/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33284113/""}"
121,NCT02657434,33333328,Impower 132,33333328,https://pubmed.ncbi.nlm.nih.gov/33333328/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33333328/""}"
122,NCT02564263,33026938,KEYNOTE-181,33026938,https://pubmed.ncbi.nlm.nih.gov/33026938/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33026938/""}"
123,NCT00861614,32811715,CA184-043,32811715,https://pubmed.ncbi.nlm.nih.gov/32811715/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32811715/""}"
124,NCT01721772,32997575,CheckMate 066,32997575,https://pubmed.ncbi.nlm.nih.gov/32997575/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32997575/""}"
125,NCT02130466,33361337,KEYNOTE-022,33361337,https://pubmed.ncbi.nlm.nih.gov/33361337/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33361337/""}"
126,NCT03043872,33285097,CASPIAN,33285097,https://pubmed.ncbi.nlm.nih.gov/33285097/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33285097/""}"
127,NCT03043872,33285097,CASPIAN,33285097,https://pubmed.ncbi.nlm.nih.gov/33285097/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33285097/""}"
128,NCT02991482,32976938,PROMISE-meso,32976938,https://pubmed.ncbi.nlm.nih.gov/32976938/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32976938/""}"
129,NCT02563002,33264544,MK-3475/Keynote-177,33264544,https://pubmed.ncbi.nlm.nih.gov/33264544/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33264544/""}"
130,NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,32946353,https://pubmed.ncbi.nlm.nih.gov/32946353/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/32946353/""}"
131, NCT00636168,25840693,,25840693,https://pubmed.ncbi.nlm.nih.gov/25840693/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/25840693/""}"
132,NCT01903993,33166718,POPLAR,33166718,https://pubmed.ncbi.nlm.nih.gov/33166718/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33166718/""}"
133,NCT02008227,33166718,OAK,33166718,https://pubmed.ncbi.nlm.nih.gov/33166718/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33166718/""}"
134,NCT02811861,33616314,CLEAR,33616314,https://pubmed.ncbi.nlm.nih.gov/33616314/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33616314/""}"
135,NCT03215706,33476593,CheckMate 9LA,33476593,https://pubmed.ncbi.nlm.nih.gov/33476593/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33476593/""}"
136,NCT02481830,33539946,CheckMate 331,33539946,https://pubmed.ncbi.nlm.nih.gov/33539946/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33539946/""}"
137,NCT03141177,33657295,CheckMate 9ER,33657295,https://pubmed.ncbi.nlm.nih.gov/33657295/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33657295/""}"
138,NCT02538666,33683919,CheckMate 451,33683919,https://pubmed.ncbi.nlm.nih.gov/33683919/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33683919/""}"
139,NCT02538666,33683919,CheckMate 451,33683919,https://pubmed.ncbi.nlm.nih.gov/33683919/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33683919/""}"
140,NCT02299999,33462450,SAFIR02-BREAST IMMUNO,33462450,https://pubmed.ncbi.nlm.nih.gov/33462450/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33462450/""}"
141,NCT02684292,33721562,Keynote-204,33721562,https://pubmed.ncbi.nlm.nih.gov/33721562/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33721562/""}"
142,NCT02450331, 33721560,Imvigor010, 33721560,https://pubmed.ncbi.nlm.nih.gov/33721560/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33721560/""}"
143,NCT02555657,33676601,Keynote-119,33676601,https://pubmed.ncbi.nlm.nih.gov/33676601/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33676601/""}"
144,NCT03088540,33581821,EMPOWER-Lung 1,33581821,https://pubmed.ncbi.nlm.nih.gov/33581821/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33581821/""}"
145,NCT02852083, 33796020,ModuLung, 33796020,https://pubmed.ncbi.nlm.nih.gov/33796020/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33796020/""}"
146,NCT02952586,33794205,JAVELIN Head and Neck 101,33794205,https://pubmed.ncbi.nlm.nih.gov/33794205/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33794205/""}"
147,NCT02743494,33789008,CheckMate 577,33789008,https://pubmed.ncbi.nlm.nih.gov/33789008/,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/33789008/""}"
