NCT,PubMed ID,Trial name,source_value
NCT01042379,32053137,I-SPY2,Chemo
NCT03043872,31590988,CASPIAN,Chemo
NCT03043872,31590988,CASPIAN,Chemo
NCT02425891,31786121,IMpassion130,Chemo
NCT02358031,31679945,KEYNOTE-048,Chemo+Anti-EGFR
NCT02358031,31679945,KEYNOTE-048,Chemo+Anti-EGFR
NCT02763579,31959349,IMpower133,Chemo
NCT02362048,32114502,KEYNOTE144,TKI
NCT02352948,32201234,ARCTIC,Chemo/TKI
NCT02352948,32201234,ARCTIC,Chemo/TKI
NCT02352948,32201234,ARCTIC,Chemo/TKI
NCT03036488,32101663,KEYNOTE-522,Chemo
NCT01274338,31880964,E1609,Interferon
NCT01274338,31880964,E1609,Interferon
NCT02523313,32416781,IMMUNED,Placebo
NCT02523313,32416781,IMMUNED,Placebo
NCT01896869,32591464,,Chemo
NCT03066778,32468956,KEYNOTE-604,Chemo
NCT02453282,32271377,MYSTIC,Chemo
NCT02453282,32271377,MYSTIC,Chemo
NCT02231749,32661118,CheckMate 214,TKI
NCT02367794,32302702,IMpower131,Chemo
NCT02367794,32302702,IMpower131,Chemo
NCT02908672,32534646,IMspire150,BRAFi+MEKi
NCT02017717,32437507,CheckMate 143,Anti-VEGF
NCT02500121,32271672,,Placebo
NCT02807636,32416780,IMvigor130,Chemo
NCT02807636,32416780,IMvigor130,Chemo
NCT03434379,32402160,IMbrave150,TKI
NCT02369874,32294530,EAGLE,Chemo+Anti-EGFR
NCT02369874,32294530,EAGLE,Chemo+Anti-EGFR
NCT02870920,32379280,,Best supportive care
NCT02574598,32271354,PROLUNG,Chemo
NCT01668784,32673417,CheckMate 025,mTOR inhibitor
NCT02684006,32339648,JAVELIN Renal 101,TKI
NCT02142738,27718847,Keynote-024,Chemo
NCT00094653,23942774,MDX010-20,Vaccine
NCT00094653,23942774,MDX010-20,Vaccine
NCT03051659,32880602,,Chemo
NCT02494583,32880601,Keynote-062,Chemo
NCT02494583,32880601,Keynote-062,Chemo
NCT02819518,33278935,MK-3475/Keynote-355,Chemo
NCT02516241,32971005,DANUBE,Chemo
NCT02516241,32971005,DANUBE,Chemo
NCT03197935,32966830,IMpassion031,Chemo
NCT02603432,32945632,,Best supportive care
NCT02625610,33197226,Javelin Gastric 100,Chemo
NCT02899299,33485464,CheckMate 743,Chemo
NCT02409342,32997907,IMpower110,Chemo
NCT02924883,33002436,KATE2,HER2i
NCT02853331,33284113,Keynote-426,TKI
NCT02657434,33333328,Impower 132,Chemo
NCT02564263,33026938,KEYNOTE-181,Chemo
NCT00861614,32811715,CA184-043,Radiation
NCT01721772,32997575,CheckMate 066,Chemo
NCT02130466,33361337,KEYNOTE-022,BRAFi+MEKi
NCT03043872,33285097,CASPIAN,Chemo
NCT03043872,33285097,CASPIAN,Chemo
NCT02991482,32976938,PROMISE-meso,Chemo
NCT02563002,33264544,MK-3475/Keynote-177,Chemo
NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,Placebo
NCT00636168,25840693,,Placebo
NCT01903993,33166718,POPLAR,Chemo
NCT02008227,33166718,OAK,Chemo
NCT02811861,33616314,CLEAR,TKI
NCT03215706,33476593,CheckMate 9LA,Chemo
NCT02481830,33539946,CheckMate 331,Chemo
NCT03141177,33657295,CheckMate 9ER,TKI
NCT02538666,33683919,CheckMate 451,Placebo
NCT02538666,33683919,CheckMate 451,Placebo
NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Chemo
NCT02684292,33721562,Keynote-204,Antibody-drug conjugate
NCT02450331,33721560,Imvigor010,Observation
NCT02555657,33676601,Keynote-119,Chemo
NCT03088540,33581821,EMPOWER-Lung 1,Chemo
NCT02852083,33796020,ModuLung,Bimodulatory
NCT02952586,33794205,JAVELIN Head and Neck 101,Chemoradio
NCT02743494,33789008,CheckMate 577,Placebo
NCT02999087,33125944,REACH,Chemo/Anti-EGFR+Radiotherapy
