natural_language_query,sql_query,column_used,expected_llm_response,expected_llm_response_key_column_match,expected_llm_response_value_column_candidates,ground_truth_column,ground_truth_selection_details,final_column,Table or Retrieval
"In Mesothelioma trials, categorize number of arms as 1-arm, 2-arm, or ≥3-arm.","SELECT ""Number of arms""
FROM clinical_trials
WHERE ""Cancer type"" = 'Mesothelioma';",Number of arms,"{""arm_category"": ""≥3-arm""}","arm_category -> no close match (best: Number of arms, 0.50)","arm_category=""≥3-arm"" -> Secondary endpoint [1.00]",no_match,"{""question"": ""In Mesothelioma trials, categorize number of arms as 1-arm, 2-arm, or ≥3-arm."", ""entries"": [{""key"": ""arm_category"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Chemotherapy trials in Melanoma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx).","SELECT ""Trial name""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Chemotherapy' AND ""Cancer type"" = 'Melanoma';",Trial name,"{""trial_acronym"": ""KEYNOTE-042""}","trial_acronym -> no close match (best: Trial name, 0.70)","trial_acronym=""KEYNOTE-042"" -> Trial name [1.00]",no_match,"{""question"": ""For Chemotherapy trials in Melanoma, extract the trial acronym from the trial name (e.g., KEYNOTE-xxx, CHECKMATE-xxx)."", ""entries"": [{""key"": ""trial_acronym"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Esophageal/GEJ combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).","SELECT ""Type of combination""
FROM clinical_trials
WHERE ""Cancer type"" = 'Esophageal/GEJ' AND ""Monotherapy/combination"" = 'Combination';",Type of combination,"{""combo_type_norm"": ""ICI+Chemo""}","combo_type_norm -> no close match (best: Type of combination, 0.67)","combo_type_norm=""ICI+Chemo"" -> Type of combination [1.00], Control arm [0.89], Type of control [0.89]",no_match,"{""question"": ""In Esophageal/GEJ combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI)."", ""entries"": [{""key"": ""combo_type_norm"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Hodgkin Lymphoma trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.","SELECT ""Clinical setting""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hodgkin Lymphoma';",Clinical setting,"{""setting_normalized"": ""metastatic/advanced""}","setting_normalized -> no close match (best: Clincal setting in relation to surgery, 0.50)","setting_normalized=""metastatic/advanced"" -> no close value match (best: Clincal setting in relation to surgery, 0.50)",no_match,"{""question"": ""In Hodgkin Lymphoma trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced."", ""entries"": [{""key"": ""setting_normalized"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In NSCLC trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen.","SELECT ""Control regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'NSCLC' AND ""Control arm"" = 'Chemo';",Control regimen,"{""control_drugs"": [""paclitaxel"", ""carboplatin""]}",control_drugs -> Control arm [MATCH 0.78],"control_drugs=[""paclitaxel"", ""carboplatin""] -> Control regimen [1.00], Treatment regimen [1.00]",no_match,"{""question"": ""In NSCLC trials with chemotherapy control, list the specific cytotoxic drugs from the control regimen."", ""entries"": [{""key"": ""control_drugs"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Melanoma';",Secondary endpoint,"{""endpoint_role"": ""secondary""}","endpoint_role -> no close match (best: Type of control, 0.56)","endpoint_role=""secondary"" -> Secondary endpoint [1.00]",no_match,"{""question"": ""In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text."", ""entries"": [{""key"": ""endpoint_role"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Small Cell Lung Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","SELECT ""Control arm""
FROM clinical_trials
WHERE ""Cancer type"" = 'Small Cell Lung' AND ""Trial phase"" = 'Phase 3';",Control arm,"{""control_category"": ""placebo""}",control_category -> Control arm [MATCH 0.74],"control_category=""placebo"" -> Control arm [1.00], Control regimen [1.00], Name of ICI [1.00], Type of control [1.00]",no_match,"{""question"": ""In Small Cell Lung Phase 3 trials, classify the control arm as active, placebo, or best supportive care."", ""entries"": [{""key"": ""control_category"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Renal cell Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","SELECT ""Control arm""
FROM clinical_trials
WHERE ""Cancer type"" = 'Renal cell' AND ""Trial phase"" = 'Phase 3';",Control arm,"{""control_category"": ""placebo""}",control_category -> Control arm [MATCH 0.74],"control_category=""placebo"" -> Control arm [1.00], Control regimen [1.00], Name of ICI [1.00], Type of control [1.00]",no_match,"{""question"": ""In Renal cell Phase 3 trials, classify the control arm as active, placebo, or best supportive care."", ""entries"": [{""key"": ""control_category"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Breast';",Secondary endpoint,"{""endpoint_role"": ""secondary""}","endpoint_role -> no close match (best: Type of control, 0.56)","endpoint_role=""secondary"" -> Secondary endpoint [1.00]",no_match,"{""question"": ""In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text."", ""entries"": [{""key"": ""endpoint_role"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Colorectal trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Secondary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Colorectal';",Secondary endpoint,"{""endpoint_role"": ""secondary""}","endpoint_role -> no close match (best: Type of control, 0.56)","endpoint_role=""secondary"" -> Secondary endpoint [1.00]",no_match,"{""question"": ""In Colorectal trials, determine whether the listed endpoint is primary or secondary based on the endpoint text."", ""entries"": [{""key"": ""endpoint_role"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Head and Neck studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck' AND ""Type of combination"" = 'ICI+TKI';",Treatment regimen,"{""tki_agents"": [""axitinib""]}","tki_agents -> no close match (best: Trial name, 0.53)","tki_agents=[""axitinib""] -> Treatment regimen [1.00], Control regimen [0.71]",no_match,"{""question"": ""In Head and Neck studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen."", ""entries"": [{""key"": ""tki_agents"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Urothelial Phase 3 trials, classify the control arm as active, placebo, or best supportive care.","SELECT ""Control arm""
FROM clinical_trials
WHERE ""Cancer type"" = 'Urothelial' AND ""Trial phase"" = 'Phase 3';",Control arm,"{""control_category"": ""placebo""}",control_category -> Control arm [MATCH 0.74],"control_category=""placebo"" -> Control arm [1.00], Control regimen [1.00], Name of ICI [1.00], Type of control [1.00]",no_match,"{""question"": ""In Urothelial Phase 3 trials, classify the control arm as active, placebo, or best supportive care."", ""entries"": [{""key"": ""control_category"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Bladder trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced.","SELECT ""Clinical setting""
FROM clinical_trials
WHERE ""Cancer type"" = 'Bladder';",Clinical setting,"{""setting_normalized"": ""metastatic/advanced""}","setting_normalized -> no close match (best: Clincal setting in relation to surgery, 0.50)","setting_normalized=""metastatic/advanced"" -> no close value match (best: Clincal setting in relation to surgery, 0.50)",no_match,"{""question"": ""In Bladder trials, normalize the clinical setting to one of: neoadjuvant, adjuvant, perioperative, metastatic/advanced."", ""entries"": [{""key"": ""setting_normalized"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Pancreatic trials, convert 'Type of therapy' into is_combination = true/false.","SELECT ""Type of therapy""
FROM clinical_trials
WHERE ""Cancer type"" = 'Pancreatic';",Type of therapy,"{""is_combination"": true}",is_combination -> Monotherapy/combination [MATCH 1.00],"is_combination=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In Pancreatic trials, convert 'Type of therapy' into is_combination = true/false."", ""entries"": [{""key"": ""is_combination"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Gastric/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4.","SELECT ""Name of ICI""
FROM clinical_trials
WHERE ""Cancer type"" = 'Gastric/GEJ';",Name of ICI,"{""class"": ""PD-1""}",class -> Class of ICI [MATCH 1.00],"class=""PD-1"" -> Class of ICI [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Class of ICI,"{""question"": ""In Gastric/GEJ trials, classify the ICI by target class from its generic name as PD-1, PD-L1, or CTLA-4."", ""entries"": [{""key"": ""class"", ""chosen_column"": ""Class of ICI"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Class of ICI"", ""question_mention_winner"": ""Class of ICI"", ""candidates"": [{""column"": ""Class of ICI"", ""candidate_score"": 1.0, ""combined_score"": 1.0, ""key_score"": 1.0, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Class of ICI,Table (Class of ICI)
"In Gastric/GEJ combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI).","SELECT ""Type of combination""
FROM clinical_trials
WHERE ""Cancer type"" = 'Gastric/GEJ' AND ""Monotherapy/combination"" = 'Combination';",Type of combination,"{""combo_type_norm"": ""ICI+Chemo""}","combo_type_norm -> no close match (best: Type of combination, 0.67)","combo_type_norm=""ICI+Chemo"" -> Type of combination [1.00], Control arm [0.89], Type of control [0.89]",no_match,"{""question"": ""In Gastric/GEJ combination therapy trials, normalize the combination type to standardized labels (e.g., ICI+Chemo, ICI+TKI, ICI+ICI)."", ""entries"": [{""key"": ""combo_type_norm"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Hepatocellular trials, interpret the PD-L1 requirement flag as boolean true/false.","SELECT ""Is PD-L1 positivity inclusion criteria""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hepatocellular';",Is PD-L1 positivity inclusion criteria,"{""pd_l1_required"": true}",pd_l1_required -> Is PD-L1 positivity inclusion criteria [MATCH 0.75],"pd_l1_required=true -> no close value match (best: Trial name, 0.69)",no_match,"{""question"": ""In Hepatocellular trials, interpret the PD-L1 requirement flag as boolean true/false."", ""entries"": [{""key"": ""pd_l1_required"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For trials retrieved, construct a PubMed URL from the PubMed ID.","SELECT ""PubMed ID""
FROM clinical_trials
WHERE ""Year"" >= 2015;",PubMed ID,"{""pubmed_url"": ""https://pubmed.ncbi.nlm.nih.gov/12345678/""}",pubmed_url -> PubMed ID [MATCH 0.74],"pubmed_url=""https://pubmed.ncbi.nlm.nih.gov/12345678/"" -> no close value match (best: NCT, 0.33)",no_match,"{""question"": ""For trials retrieved, construct a PubMed URL from the PubMed ID."", ""entries"": [{""key"": ""pubmed_url"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Hodgkin Lymphoma trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","SELECT ""Follow-up duration for primary endpoint(s) in months | Overall""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hodgkin Lymphoma';",Follow-up duration for primary endpoint(s) in months | Overall,"{""maturity"": ""mature""}","maturity -> no close match (best: Author, 0.43)","maturity=""mature"" -> no close value match (best: Trial name, 0.50)",no_match,"{""question"": ""In Hodgkin Lymphoma trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing)."", ""entries"": [{""key"": ""maturity"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Head and Neck trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing).","SELECT ""Follow-up duration for primary endpoint(s) in months | Overall""
FROM clinical_trials
WHERE ""Cancer type"" = 'Head and Neck';",Follow-up duration for primary endpoint(s) in months | Overall,"{""maturity"": ""mature""}","maturity -> no close match (best: Author, 0.43)","maturity=""mature"" -> no close value match (best: Trial name, 0.50)",no_match,"{""question"": ""In Head and Neck trials, classify overall follow-up maturity: 'mature' if ≥24 months, else 'immature' (or 'unknown' if missing)."", ""entries"": [{""key"": ""maturity"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"In Esophageal/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other.","SELECT ""Primary endpoint""
FROM clinical_trials
WHERE ""Cancer type"" = 'Esophageal/GEJ' AND ""Trial phase"" = 'Phase 2';",Primary endpoint,"{""primary_endpoint_category"": ""PFS""}",primary_endpoint_category -> Primary endpoint [MATCH 0.98],"primary_endpoint_category=""PFS"" -> Follow-up duration for primary endpoint(s) in months | Overall [1.00], Primary endpoint [1.00], Secondary endpoint [1.00]",Primary endpoint,"{""question"": ""In Esophageal/GEJ Phase 2 trials, standardize the primary endpoint into one of OS, PFS, ORR, DFS, DOR, AE-rate, or Other."", ""entries"": [{""key"": ""primary_endpoint_category"", ""chosen_column"": ""Primary endpoint"", ""chosen_reason"": ""question_mention_override"", ""score_winner"": ""Primary endpoint"", ""question_mention_winner"": ""Primary endpoint"", ""candidates"": [{""column"": ""Primary endpoint"", ""candidate_score"": 0.9804878048780488, ""combined_score"": 0.9902439024390244, ""key_score"": 0.9804878048780488, ""value_score"": 1.0, ""mention_score"": 1.0, ""sources"": [""key_match"", ""value_match""]}]}]}",Primary endpoint,Table (Primary endpoint)
"In melanoma trials using ICI plus BRAFi+MEKi, list the BRAF and MEK inhibitors used in the regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Melanoma' AND ""Type of combination"" = 'ICI+BRAFi+MEKi';",Treatment regimen,"{""braf_inhibitor"": ""dabrafenib"", ""mek_inhibitor"": ""trametinib""}","braf_inhibitor -> no close match (best: Author, 0.40) | mek_inhibitor -> no close match (best: Name of ICI, 0.48)","braf_inhibitor=""dabrafenib"" -> Control regimen [1.00], Treatment regimen [1.00] | mek_inhibitor=""trametinib"" -> Control regimen [1.00], Treatment regimen [1.00]",braf_inhibitor -> no_match | mek_inhibitor -> no_match,"{""question"": ""In melanoma trials using ICI plus BRAFi+MEKi, list the BRAF and MEK inhibitors used in the regimen."", ""entries"": [{""key"": ""braf_inhibitor"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}, {""key"": ""mek_inhibitor"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",braf_inhibitor -> no_match | mek_inhibitor -> no_match,Retrieval
"In Hepatocellular studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen.","SELECT ""Treatment regimen""
FROM clinical_trials
WHERE ""Cancer type"" = 'Hepatocellular' AND ""Type of combination"" = 'ICI+TKI';",Treatment regimen,"{""tki_agents"": [""axitinib""]}","tki_agents -> no close match (best: Trial name, 0.53)","tki_agents=[""axitinib""] -> Treatment regimen [1.00], Control regimen [0.71]",no_match,"{""question"": ""In Hepatocellular studies using ICI+TKI, list the TKI agent(s) mentioned in the treatment regimen."", ""entries"": [{""key"": ""tki_agents"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
"For Avelumab trials, bucket total sample size as small(<100), medium(100–299), or large(≥300).","SELECT ""Total sample size""
FROM clinical_trials
WHERE ""Name of ICI"" = 'Avelumab';",Total sample size,"{""size_bucket"": ""large""}","size_bucket -> no close match (best: Total sample size, 0.50)","size_bucket=""large"" -> no close value match (best: Trial name, 0.60)",no_match,"{""question"": ""For Avelumab trials, bucket total sample size as small(<100), medium(100–299), or large(≥300)."", ""entries"": [{""key"": ""size_bucket"", ""chosen_column"": ""no_match"", ""chosen_reason"": ""no_candidates_above_cutoff"", ""score_winner"": ""no_match"", ""question_mention_winner"": null, ""candidates"": []}]}",no_match,Retrieval
