NCT,PubMed ID,Trial name,source_value
NCT00861614,32811715,CA184-043,Combination
NCT01721772,32997575,CheckMate 066,Monotherapy
NCT02130466,33361337,KEYNOTE-022,Combination
NCT03043872,33285097,CASPIAN,Combination
NCT03043872,33285097,CASPIAN,Combination
NCT02991482,32976938,PROMISE-meso,Monotherapy
NCT02563002,33264544,MK-3475/Keynote-177,Monotherapy
NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,Monotherapy
NCT00636168,25840693,,Monotherapy
NCT01903993,33166718,POPLAR,Monotherapy
NCT02008227,33166718,OAK,Monotherapy
NCT02811861,33616314,CLEAR,Combination
NCT03215706,33476593,CheckMate 9LA,Combination
NCT02481830,33539946,CheckMate 331,Monotherapy
NCT03141177,33657295,CheckMate 9ER,Combination
NCT02538666,33683919,CheckMate 451,Combination
NCT02538666,33683919,CheckMate 451,Monotherapy
NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Monotherapy
NCT02684292,33721562,Keynote-204,Monotherapy
NCT02450331,33721560,Imvigor010,Monotherapy
NCT02555657,33676601,Keynote-119,Monotherapy
NCT03088540,33581821,EMPOWER-Lung 1,Monotherapy
NCT02852083,33796020,ModuLung,Monotherapy
NCT02952586,33794205,JAVELIN Head and Neck 101,Combination
NCT02743494,33789008,CheckMate 577,Monotherapy
NCT02999087,33125944,REACH,Combination
