NCT,PubMed ID,Trial name,source_value
NCT01042379,32053137,I-SPY2,Original publication
NCT03043872,31590988,CASPIAN,Original publication
NCT03043872,31590988,CASPIAN,Original publication
NCT02425891,31786121,IMpassion130,Follow-up
NCT02358031,31679945,KEYNOTE-048,Original publication
NCT02358031,31679945,KEYNOTE-048,Original publication
NCT02763579,31959349,IMpower133,Follow-up
NCT02362048,32114502,KEYNOTE144,Original publication
NCT02352948,32201234,ARCTIC,Original publication
NCT02352948,32201234,ARCTIC,Original publication
NCT02352948,32201234,ARCTIC,Original publication
NCT03036488,32101663,KEYNOTE-522,Original publication
NCT01274338,31880964,E1609,Original publication
NCT01274338,31880964,E1609,Original publication
NCT02523313,32416781,IMMUNED,Original publication
NCT02523313,32416781,IMMUNED,Original publication
NCT01896869,32591464,,Original publication
NCT03066778,32468956,KEYNOTE-604,Original publication
NCT02453282,32271377,MYSTIC,Original publication
NCT02453282,32271377,MYSTIC,Original publication
NCT02231749,32661118,CheckMate 214,Follow-up
NCT02367794,32302702,IMpower131,Original publication
NCT02367794,32302702,IMpower131,Original publication
NCT02908672,32534646,IMspire150,Original publication
NCT02017717,32437507,CheckMate 143,Original publication
NCT02500121,32271672,,Original publication
NCT02807636,32416780,IMvigor130,Original publication
NCT02807636,32416780,IMvigor130,Original publication
NCT03434379,32402160,IMbrave150,Original publication
NCT02369874,32294530,EAGLE,Original publication
NCT02369874,32294530,EAGLE,Original publication
NCT02870920,32379280,,Original publication
NCT02574598,32271354,PROLUNG,Original publication
NCT01668784,32673417,CheckMate 025,Follow-up
NCT02684006,32339648,JAVELIN Renal 101,Follow-up
NCT02142738,27718847,Keynote-024,Original publication
NCT00094653,23942774,MDX010-20,Follow-up
NCT00094653,23942774,MDX010-20,Follow-up
NCT03051659,32880602,,Original publication
NCT02494583,32880601,Keynote-062,Original publication
NCT02494583,32880601,Keynote-062,Original publication
NCT02819518,33278935,MK-3475/Keynote-355,Original publication
NCT02516241,32971005,DANUBE,Original publication
NCT02516241,32971005,DANUBE,Original publication
NCT03197935,32966830,IMpassion031,Original publication
NCT02603432,32945632,,Original publication
NCT02625610,33197226,Javelin Gastric 100,Original publication
NCT02899299,33485464,CheckMate 743,Original publication
NCT02409342,32997907,IMpower110,Original publication
NCT02924883,33002436,KATE2,Original publication
NCT02853331,33284113,Keynote-426,Follow-up
NCT02657434,33333328,Impower 132,Original publication
NCT02564263,33026938,KEYNOTE-181,Original publication
NCT00861614,32811715,CA184-043,Follow-up
NCT01721772,32997575,CheckMate 066,Follow-up
NCT02130466,33361337,KEYNOTE-022,Original publication
NCT03043872,33285097,CASPIAN,Follow-up
NCT03043872,33285097,CASPIAN,Follow-up
NCT02991482,32976938,PROMISE-meso,Original publication
NCT02563002,33264544,MK-3475/Keynote-177,Original publication
NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,Follow-up
NCT00636168,25840693,,Original publication
NCT01903993,33166718,POPLAR,Follow-up
NCT02008227,33166718,OAK,Follow-up
NCT02811861,33616314,CLEAR,Original publication
NCT03215706,33476593,CheckMate 9LA,Original publication
NCT02481830,33539946,CheckMate 331,Original publication
NCT03141177,33657295,CheckMate 9ER,Original publication
NCT02538666,33683919,CheckMate 451,Original publication
NCT02538666,33683919,CheckMate 451,Original publication
NCT02299999,33462450,SAFIR02-BREAST IMMUNO,Original publication
NCT02684292,33721562,Keynote-204,Original publication
NCT02450331,33721560,Imvigor010,Original publication
NCT02555657,33676601,Keynote-119,Original publication
NCT03088540,33581821,EMPOWER-Lung 1,Original publication
NCT02852083,33796020,ModuLung,Original publication
NCT02952586,33794205,JAVELIN Head and Neck 101,Original publication
NCT02743494,33789008,CheckMate 577,Original publication
NCT02999087,33125944,REACH,Original publication
