NCT,PubMed ID,Trial name,source_value
NCT02142738,30620668,Keynote-024,PFS
NCT02367781,31122901,IMpower130,OS+PFS
NCT02613507,30659987,Checkmate 078,OS
NCT00324155,21639810,,OS
NCT00094653,20525992,MDX010-20,OS
NCT00094653,20525992,MDX010-20,OS
NCT00257205,23295794,,OS
NCT02362594,29658430,EORTC 1325-MG/KEYNOTE-054,PFS
NCT01704287,26115796,KEYNOTE-002,OS+PFS
NCT01704287,26115796,KEYNOTE-002,OS+PFS
NCT01704287,28961465,KEYNOTE-002,OS+PFS
NCT01704287,28961465,KEYNOTE-002,OS+PFS
NCT00636168,27717298,,PFS
NCT01721746,25795410,CheckMate 037,OS+ORR
NCT01721746,28671856,CheckMate 037,OS+ORR
NCT02130466,31171878,KEYNOTE-022,PFS
NCT01721772,25399552,CheckMate 066,OS
NCT01721772,30422243,CheckMate 066,OS
NCT01843374,28729154,DETERMINE,OS
NCT02576977,31327687,KEYNOTE-183,OS+PFS
NCT02579863,31327689,KEYNOTE-185,PFS
NCT00861614,24831977,CA184-043,OS
NCT01057810,28034081,CA184-095,OS
NCT02267343,31863227,ATTRACTION-2,OS
NCT02702401,31790344,KEYNOTE-240,OS+PFS
NCT02569242,31582355,ATTRACTION-3,OS
NCT01042379,32053137,I-SPY2,Path CR
NCT03043872,31590988,CASPIAN,OS
NCT03043872,31590988,CASPIAN,OS
NCT02425891,31786121,IMpassion130,OS+PFS
NCT02358031,31679945,KEYNOTE-048,OS+PFS
NCT02358031,31679945,KEYNOTE-048,OS+PFS
NCT02763579,31959349,IMpower133,OS+PFS
NCT02362048,32114502,KEYNOTE144,Safety
NCT02352948,32201234,ARCTIC,OS+PFS
NCT02352948,32201234,ARCTIC,OS+PFS
NCT02352948,32201234,ARCTIC,OS+PFS
NCT03036488,32101663,KEYNOTE-522,Path CR+EFS
NCT01274338,31880964,E1609,OS+RFS
NCT01274338,31880964,E1609,OS+RFS
NCT02523313,32416781,IMMUNED,RFS
NCT02523313,32416781,IMMUNED,RFS
NCT01896869,32591464,,OS
NCT03066778,32468956,KEYNOTE-604,OS+PFS
NCT02453282,32271377,MYSTIC,OS+PFS
NCT02453282,32271377,MYSTIC,OS+PFS
NCT02231749,32661118,CheckMate 214,OS+PFS+ORR
NCT02367794,32302702,IMpower131,OS+PFS
NCT02367794,32302702,IMpower131,OS+PFS
NCT02908672,32534646,IMspire150,PFS
NCT02017717,32437507,CheckMate 143,OS
NCT02500121,32271672,,PFS
NCT02807636,32416780,IMvigor130,OS+PFS
NCT02807636,32416780,IMvigor130,OS+PFS
NCT03434379,32402160,IMbrave150,OS+PFS
NCT02369874,32294530,EAGLE,OS
NCT02369874,32294530,EAGLE,OS
NCT02870920,32379280,,OS
NCT02574598,32271354,PROLUNG,ORR
NCT01668784,32673417,CheckMate 025,OS
NCT02684006,32339648,JAVELIN Renal 101,OS+PFS
NCT02142738,27718847,Keynote-024,PFS
NCT00094653,23942774,MDX010-20,OS
NCT00094653,23942774,MDX010-20,OS
NCT03051659,32880602,,PFS
NCT02494583,32880601,Keynote-062,OS+PFS
NCT02494583,32880601,Keynote-062,OS+PFS
NCT02819518,33278935,MK-3475/Keynote-355,OS+PFS
NCT02516241,32971005,DANUBE,OS
NCT02516241,32971005,DANUBE,OS
NCT03197935,32966830,IMpassion031,Path CR in ITT+Path CR in PD-L1+
NCT02603432,32945632,,OS
NCT02625610,33197226,Javelin Gastric 100,OS
NCT02899299,33485464,CheckMate 743,OS
NCT02409342,32997907,IMpower110,OS
NCT02924883,33002436,KATE2,PFS
NCT02853331,33284113,Keynote-426,OS+PFS
NCT02657434,33333328,Impower 132,PFS+OS
NCT02564263,33026938,KEYNOTE-181,OS
NCT00861614,32811715,CA184-043,OS
NCT01721772,32997575,CheckMate 066,OS
NCT02130466,33361337,KEYNOTE-022,PFS
NCT03043872,33285097,CASPIAN,OS
NCT03043872,33285097,CASPIAN,OS
NCT02991482,32976938,PROMISE-meso,PFS
NCT02563002,33264544,MK-3475/Keynote-177,PFS+OS
NCT02362594,32946353,EORTC 1325-MG/KEYNOTE-054,RFS
NCT00636168,25840693,,PFS
NCT01903993,33166718,POPLAR,OS
NCT02008227,33166718,OAK,OS
NCT02811861,33616314,CLEAR,PFS
NCT03215706,33476593,CheckMate 9LA,OS
NCT02481830,33539946,CheckMate 331,OS
NCT03141177,33657295,CheckMate 9ER,PFS
NCT02538666,33683919,CheckMate 451,OS
NCT02299999,33462450,SAFIR02-BREAST IMMUNO,PFS
NCT02684292,33721562,Keynote-204,PFS+OS
NCT02450331,33721560,Imvigor010,DFS
NCT02555657,33676601,Keynote-119,OS
NCT03088540,33581821,EMPOWER-Lung 1,OS+PFS
NCT02852083,33796020,ModuLung,PFS
NCT02952586,33794205,JAVELIN Head and Neck 101,PFS
NCT02743494,33789008,CheckMate 577,DFS
NCT02999087,33125944,REACH,PFS
